2017-02-07 21:10:11 install libpam0g:armhf <none> 1.1.8-3.5
2017-02-07 21:10:11 status half-installed libpam0g:armhf 1.1.8-3.5
2017-02-07 21:10:11 status unpacked libpam0g:armhf 1.1.8-3.5
2017-02-07 21:10:11 status unpacked libpam0g:armhf 1.1.8-3.5
2017-02-07 21:10:11 install libpcre3:armhf <none> 2:8.39-2
2017-02-07 21:10:11 status half-installed libpcre3:armhf 2:8.39-2
2017-02-07 21:10:11 status unpacked libpcre3:armhf 2:8.39-2
2017-02-07 21:10:11 status unpacked libpcre3:armhf 2:8.39-2
2017-02-07 21:10:11 upgrade perl-base:armhf 5.24.1-1 5.24.1-1
2017-02-07 21:10:11 status half-configured perl-base:armhf 5.24.1-1
2017-02-07 21:10:11 status unpacked perl-base:armhf 5.24.1-1
2017-02-07 21:10:11 status half-installed perl-base:armhf 5.24.1-1
2017-02-07 21:10:14 status half-installed perl-base:armhf 5.24.1-1
2017-02-07 21:10:15 status unpacked perl-base:armhf 5.24.1-1
2017-02-07 21:10:15 status unpacked perl-base:armhf 5.24.1-1
2017-02-07 21:10:15 install sed:armhf <none> 4.4-1
2017-02-07 21:10:15 status half-installed sed:armhf 4.4-1
2017-02-07 21:10:15 status unpacked sed:armhf 4.4-1
2017-02-07 21:10:15 status unpacked sed:armhf 4.4-1
2017-02-07 21:10:15 install sensible-utils:all <none> 0.0.9
2017-02-07 21:10:15 status half-installed sensible-utils:all 0.0.9
2017-02-07 21:10:23 status unpacked sensible-utils:all 0.0.9
2017-02-07 21:10:23 status unpacked sensible-utils:all 0.0.9
2017-02-07 21:10:23 install login:armhf <none> 1:4.4-3
2017-02-07 21:10:23 status half-installed login:armhf 1:4.4-3
2017-02-07 21:10:24 status unpacked login:armhf 1:4.4-3
2017-02-07 21:10:24 status unpacked login:armhf 1:4.4-3
2017-02-07 21:10:24 install passwd:armhf <none> 1:4.4-3
2017-02-07 21:10:24 status half-installed passwd:armhf 1:4.4-3
2017-02-07 21:10:27 status unpacked passwd:armhf 1:4.4-3
2017-02-07 21:10:28 status unpacked passwd:armhf 1:4.4-3
2017-02-07 21:10:28 install libsystemd0:armhf <none> 232-15
2017-02-07 21:10:28 status half-installed libsystemd0:armhf 232-15
2017-02-07 21:10:28 status unpacked libsystemd0:armhf 232-15
2017-02-07 21:10:28 status unpacked libsystemd0:armhf 232-15
2017-02-07 21:10:28 install libudev1:armhf <none> 232-15
2017-02-07 21:10:28 status half-installed libudev1:armhf 232-15
2017-02-07 21:10:28 status unpacked libudev1:armhf 232-15
2017-02-07 21:10:28 status unpacked libudev1:armhf 232-15
2017-02-07 21:10:28 install sysvinit-utils:armhf <none> 2.88dsf-59.8
2017-02-07 21:10:28 status half-installed sysvinit-utils:armhf 2.88dsf-59.8
2017-02-07 21:10:28 status unpacked sysvinit-utils:armhf 2.88dsf-59.8
2017-02-07 21:10:28 status unpacked sysvinit-utils:armhf 2.88dsf-59.8
2017-02-07 21:10:29 install tar:armhf <none> 1.29b-1.1
2017-02-07 21:10:29 status half-installed tar:armhf 1.29b-1.1
2017-02-07 21:10:31 status unpacked tar:armhf 1.29b-1.1
2017-02-07 21:10:31 status unpacked tar:armhf 1.29b-1.1
2017-02-07 21:10:31 install tzdata:all <none> 2016j-2
2017-02-07 21:10:31 status half-installed tzdata:all 2016j-2
2017-02-07 21:10:32 status unpacked tzdata:all 2016j-2
2017-02-07 21:10:32 status unpacked tzdata:all 2016j-2
2017-02-07 21:10:34 install libustr-1.0-1:armhf <none> 1.0.4-6
2017-02-07 21:10:34 status half-installed libustr-1.0-1:armhf 1.0.4-6
2017-02-07 21:10:34 status unpacked libustr-1.0-1:armhf 1.0.4-6
2017-02-07 21:10:34 status unpacked libustr-1.0-1:armhf 1.0.4-6
2017-02-07 21:10:34 install bsdutils:armhf <none> 1:2.29.1-1
2017-02-07 21:10:34 status half-installed bsdutils:armhf 1:2.29.1-1
2017-02-07 21:10:34 status unpacked bsdutils:armhf 1:2.29.1-1
2017-02-07 21:10:34 status unpacked bsdutils:armhf 1:2.29.1-1
2017-02-07 21:10:34 install libblkid1:armhf <none> 2.29.1-1
2017-02-07 21:10:34 status half-installed libblkid1:armhf 2.29.1-1
2017-02-07 21:10:34 status unpacked libblkid1:armhf 2.29.1-1
2017-02-07 21:10:34 status unpacked libblkid1:armhf 2.29.1-1
2017-02-07 21:10:35 install libfdisk1:armhf <none> 2.29.1-1
2017-02-07 21:10:35 status half-installed libfdisk1:armhf 2.29.1-1
2017-02-07 21:10:35 status unpacked libfdisk1:armhf 2.29.1-1
2017-02-07 21:10:35 status unpacked libfdisk1:armhf 2.29.1-1
2017-02-07 21:10:35 install libmount1:armhf <none> 2.29.1-1
2017-02-07 21:10:35 status half-installed libmount1:armhf 2.29.1-1
2017-02-07 21:10:35 status unpacked libmount1:armhf 2.29.1-1
2017-02-07 21:10:35 status unpacked libmount1:armhf 2.29.1-1
2017-02-07 21:10:35 install libsmartcols1:armhf <none> 2.29.1-1
2017-02-07 21:10:35 status half-installed libsmartcols1:armhf 2.29.1-1
2017-02-07 21:10:35 status unpacked libsmartcols1:armhf 2.29.1-1
2017-02-07 21:10:35 status unpacked libsmartcols1:armhf 2.29.1-1
2017-02-07 21:10:35 install libuuid1:armhf <none> 2.29.1-1
2017-02-07 21:10:35 status half-installed libuuid1:armhf 2.29.1-1
2017-02-07 21:10:35 status unpacked libuuid1:armhf 2.29.1-1
2017-02-07 21:10:35 status unpacked libuuid1:armhf 2.29.1-1
2017-02-07 21:10:36 install mount:armhf <none> 2.29.1-1
2017-02-07 21:10:36 status half-installed mount:armhf 2.29.1-1
2017-02-07 21:10:37 status unpacked mount:armhf 2.29.1-1
2017-02-07 21:10:37 status unpacked mount:armhf 2.29.1-1
2017-02-07 21:10:37 install util-linux:armhf <none> 2.29.1-1
2017-02-07 21:10:37 status half-installed util-linux:armhf 2.29.1-1
2017-02-07 21:10:38 status unpacked util-linux:armhf 2.29.1-1
2017-02-07 21:10:38 status unpacked util-linux:armhf 2.29.1-1
2017-02-07 21:10:39 install liblzma5:armhf <none> 5.2.2-1.2
2017-02-07 21:10:39 status half-installed liblzma5:armhf 5.2.2-1.2
2017-02-07 21:10:40 status unpacked liblzma5:armhf 5.2.2-1.2
2017-02-07 21:10:40 status unpacked liblzma5:armhf 5.2.2-1.2
2017-02-07 21:10:40 install zlib1g:armhf <none> 1:1.2.8.dfsg-5
2017-02-07 21:10:40 status half-installed zlib1g:armhf 1:1.2.8.dfsg-5
2017-02-07 21:10:40 status unpacked zlib1g:armhf 1:1.2.8.dfsg-5
2017-02-07 21:10:41 status unpacked zlib1g:armhf 1:1.2.8.dfsg-5
2017-02-07 21:10:41 startup packages configure
2017-02-07 21:10:41 configure gcc-6-base:armhf 6.3.0-6 <none>
2017-02-07 21:10:41 status unpacked gcc-6-base:armhf 6.3.0-6
2017-02-07 21:10:41 status half-configured gcc-6-base:armhf 6.3.0-6
2017-02-07 21:10:41 status installed gcc-6-base:armhf 6.3.0-6
2017-02-07 21:10:41 configure lsb-base:all 9.20161125 <none>
2017-02-07 21:10:41 status unpacked lsb-base:all 9.20161125
2017-02-07 21:10:41 status half-configured lsb-base:all 9.20161125
2017-02-07 21:10:41 status installed lsb-base:all 9.20161125
2017-02-07 21:10:41 configure sensible-utils:all 0.0.9 <none>
2017-02-07 21:10:41 status unpacked sensible-utils:all 0.0.9
2017-02-07 21:10:41 status half-configured sensible-utils:all 0.0.9
2017-02-07 21:10:41 status installed sensible-utils:all 0.0.9
2017-02-07 21:10:41 configure ncurses-base:all 6.0+20161126-1 <none>
2017-02-07 21:10:41 status unpacked ncurses-base:all 6.0+20161126-1
2017-02-07 21:10:41 status unpacked ncurses-base:all 6.0+20161126-1
2017-02-07 21:10:41 status half-configured ncurses-base:all 6.0+20161126-1
2017-02-07 21:10:41 status installed ncurses-base:all 6.0+20161126-1
2017-02-07 21:10:41 configure libsemanage-common:all 2.6-2 <none>
2017-02-07 21:10:41 status unpacked libsemanage-common:all 2.6-2
2017-02-07 21:10:41 status unpacked libsemanage-common:all 2.6-2
2017-02-07 21:10:41 status half-configured libsemanage-common:all 2.6-2
2017-02-07 21:10:41 status installed libsemanage-common:all 2.6-2
2017-02-07 21:10:41 configure libaudit-common:all 1:2.6.7-1 <none>
2017-02-07 21:10:41 status unpacked libaudit-common:all 1:2.6.7-1
2017-02-07 21:10:41 status unpacked libaudit-common:all 1:2.6.7-1
2017-02-07 21:10:41 status half-configured libaudit-common:all 1:2.6.7-1
2017-02-07 21:10:41 status installed libaudit-common:all 1:2.6.7-1
